location,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,price_per_sqft,listing_month,listing_year,location_tier,total_rooms,bed_bath_ratio
Westlands,Apartment,4,5,7,2293,37200000,16223.29,2,2026,High End,9,0.8
Westlands,Apartment,4,5,7,2293,37200000,16223.29,2,2026,High End,9,0.8
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,3,4,4,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Syokimau,Apartment,2,2,1,1163,8000000,6878.76,2,2026,Mid Range,4,1.0
Kilimani,Apartment,4,5,2,2971,44000000,14809.83,2,2026,Mid Range,9,0.8
Kilimani,Apartment,3,4,2,2207,32000000,14499.32,2,2026,Mid Range,7,0.75
Mirema,Apartment,1,1,6,797,5200000,6524.47,2,2026,Affordable,2,1.0
Mirema,Apartment,1,1,7,797,5200000,6524.47,2,2026,Affordable,2,1.0
Mirema,Apartment,1,1,3,797,5200000,6524.47,2,2026,Affordable,2,1.0
Westlands,Apartment,1,1,1,732,7000000,9562.84,2,2026,High End,2,1.0
Westlands,Apartment,1,1,7,603,6800000,11276.95,2,2026,High End,2,1.0
Westlands,Apartment,1,1,7,603,6800000,11276.95,2,2026,High End,2,1.0
Westlands,Apartment,1,1,7,603,6800000,11276.95,2,2026,High End,2,1.0
Syokimau,Apartment,2,2,1,1163,8000000,6878.76,2,2026,Mid Range,4,1.0
Westlands,Apartment,3,4,2,1722,24610000,14291.52,2,2026,High End,7,0.75
Westlands,Townhouse,4,5,2,2293,31000000,13519.41,2,2026,High End,9,0.8
Westlands,Apartment,2,2,2,1012,12600000,12450.59,2,2026,High End,4,1.0
Westlands,Apartment,1,1,1,592,8100000,13682.43,2,2026,High End,2,1.0
Kileleshwa,Apartment,2,2,1,1281,12000000,9367.68,2,2026,Mid Range,4,1.0
Westlands,Apartment,2,3,2,97,14000000,144329.9,2,2026,High End,5,0.67
Westlands,Apartment,1,1,1,560,6440000,11500.0,2,2026,High End,2,1.0
Syokimau,Apartment,3,4,2,549,11500000,20947.18,2,2026,Mid Range,7,0.75
Kilimani,Apartment,1,1,1,301,10500000,34883.72,2,2026,Mid Range,2,1.0
Westlands,Apartment,1,1,1,441,5880000,13333.33,2,2026,High End,2,1.0
Kileleshwa,Apartment,4,5,2,2906,24500000,8430.83,2,2026,Mid Range,9,0.8
Westlands,Apartment,1,1,7,603,6800000,11276.95,2,2026,High End,2,1.0
Westlands,Apartment,1,1,7,603,6800000,11276.95,2,2026,High End,2,1.0
Westlands,Apartment,1,1,7,603,6800000,11276.95,2,2026,High End,2,1.0
Westlands,Apartment,1,1,7,603,6800000,11276.95,2,2026,High End,2,1.0
Westlands,Apartment,1,1,7,603,6800000,11276.95,2,2026,High End,2,1.0
Westlands,Apartment,1,1,7,603,6800000,11276.95,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,441,5800000,13151.93,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,441,5880000,13333.33,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,753,8800000,11686.59,2,2026,High End,2,1.0
Westlands,Apartment,2,3,1,1410,15500000,10992.91,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1410,15500000,10992.91,2,2026,High End,5,0.67
Westlands,Apartment,1,1,1,753,9200000,12217.8,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,721,9000000,12482.66,2,2026,High End,2,1.0
Kilimani,Apartment,2,2,1,1163,11200000,9630.27,2,2026,Mid Range,4,1.0
Kilimani,Apartment,1,1,1,840,8550000,10178.57,2,2026,Mid Range,2,1.0
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Kiambu Rd,House,4,5,5,3229,35000000,10839.27,2,2026,Affordable,9,0.8
Runda,House,4,5,5,3229,35000000,10839.27,2,2026,High End,9,0.8
Runda,House,4,5,5,3229,35000000,10839.27,2,2026,High End,9,0.8
Runda,House,4,5,5,3229,35000000,10839.27,2,2026,High End,9,0.8
Runda,House,4,5,5,3229,35000000,10839.27,2,2026,High End,9,0.8
Spring Valley,Apartment,3,4,2,43,23100000,537209.3,2,2026,Affordable,7,0.75
Kileleshwa,Apartment,4,5,2,2906,25800000,8878.18,2,2026,Mid Range,9,0.8
Westlands,Apartment,3,3,7,1722,24400000,14169.57,2,2026,High End,6,1.0
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
