source,location,address,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,listing_url,listing_date
property24,Westlands,"Muthangari Dr Nairobi, Westlands, Nairobi",Apartment,3.0,,2.0,1668,24600000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-101757252,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1346,13900000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116946157,2026-02-23
property24,Westlands,"Muthangari Dr Nairobi, Westlands, Nairobi",Apartment,3.0,,2.0,1668,24600000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926045,2026-02-23
property24,Westlands,"Muthangari Dr Nairobi, Westlands, Nairobi",Apartment,4.0,,2.0,2293,31000000,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116926043,2026-02-23
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,732,7000000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116931463,2026-02-23
property24,Kilimani,"Wood Ave Kilimani, Kilimani, Nairobi",Apartment,,1.0,1.0,463,5200000,https://www.property24.co.ke/apartment-flat-for-sale-in-kilimani-116950620,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1184,13000000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116945325,2026-02-23
property24,Kilimani,"Kirichwa Rd Kilimani, Kilimani, Nairobi",Apartment,2.0,2.0,1.0,1259,14700000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116940367,2026-02-23
property24,Kileleshwa,"Othaya Rd Nairobi, Kileleshwa, Nairobi",Apartment,4.0,5.0,2.0,2454,26000000,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kileleshwa-116940641,2026-02-23
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,732,7000000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116931532,2026-02-23
property24,Kileleshwa,"Othaya Rd Nairobi, Kileleshwa, Nairobi",Apartment,4.0,5.0,2.0,2454,26000000,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kileleshwa-116940653,2026-02-23
